OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NAVSTAR 51 (USA 166),2003-005A,2026-01-01T14:18:34.174368,2.00569694,.0148089,54.9191,221.5883,52.0795,319.2795,0,U,27663,999,16797,0,.95E-6,0
USA 167,2003-008A,2026-01-01T16:22:38.758656,1.00273808,.00054173,10.6300,44.8819,263.2027,276.9967,0,U,27691,999,510,0,.6E-7,0
NAVSTAR 52 (USA 168),2003-010A,2026-01-02T01:04:31.493280,1.94742836,.0005144,54.9114,331.4467,313.5830,90.1595,0,U,27704,999,16668,0,-.9E-6,0
USA 169 (MILSTAR-2 4),2003-012A,2026-01-01T20:24:36.963648,1.00272655,.0096091,12.0959,31.1722,1.6054,167.0120,0,U,27711,999,3128,0,-.197E-5,0
ASIASAT 4,2003-014A,2026-01-01T23:46:51.500640,1.00271965,.0002885,4.2801,77.8622,201.5453,326.4905,0,U,27718,999,4363,0,-.217E-5,0
HELLAS-SAT 2,2003-020A,2026-01-01T23:03:44.222400,1.00271014,.0011023,6.9407,69.8828,200.8970,166.7329,0,U,27811,999,4118,0,-.82E-6,0
THURAYA-2,2003-026A,2026-01-01T16:28:13.873152,1.00271648,.00034591,8.5782,32.6316,267.7214,92.0402,0,U,27825,999,8267,0,.128E-5,0
OPTUS C1,2003-028B,2026-01-01T13:34:37.548768,1.00271888,.0006207,6.4721,71.4428,212.4841,176.7166,0,U,27831,999,5139,0,-.147E-5,0
MOST,2003-031D,2026-01-02T00:03:17.862048,14.21277229,.001017,98.7066,12.0361,18.3892,341.7651,0,U,27843,999,16710,.11246E-3,.201E-5,0
CUTE-1 (CO-55),2003-031E,2026-01-01T23:08:09.315744,14.24200247,.0008822,98.6761,12.6059,312.9893,47.0545,0,U,27844,999,16801,.3267E-3,.709E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-01-02T00:15:19.431648,14.23505249,.000897,98.6792,12.4980,332.1003,27.9693,0,U,27848,999,16773,.28226E-3,.598E-5,0
SCISAT 1,2003-036A,2026-01-01T18:02:30.673824,14.81163915,.00085816,73.9302,141.9704,248.7046,111.3215,0,U,27858,999,20680,.25935672E-3,.1983E-4,0
COSMOS 2400,2003-037A,2026-01-02T03:28:21.927072,12.45187193,.002232,82.4708,73.9754,60.9023,299.4289,0,U,27868,999,1687,.10003E-2,.153E-5,0
COSMOS 2401,2003-037B,2026-01-02T03:34:18.392736,12.45500030,.002305,82.4700,70.4228,56.4080,303.9197,0,U,27869,999,1710,.1054E-2,.161E-5,0
USA 170,2003-040A,2026-01-01T19:47:55.477824,1.00269480,.00024762,10.1468,49.5069,227.6035,145.4679,0,U,27875,999,3132,0,.126E-5,0
MOZHAETS 4 (RS-22),2003-042A,2026-01-02T05:53:55.345344,14.73036403,.0012493,98.3364,181.9929,75.9969,96.7216,0,U,27939,999,19111,.21888E-3,.1355E-4,0
LARETS,2003-042F,2026-01-02T03:40:50.213280,14.63827357,.0012022,98.3914,161.0786,188.7480,171.3514,0,U,27944,999,18907,.44498E-4,.182E-5,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-01-02T01:49:16.248864,1.00269996,.0001942,0.9892,86.2162,191.8679,60.9387,0,U,27954,999,4490,0,.14E-5,0
IRS-P6 (RESOURCESAT-1),2003-046A,2026-01-02T04:50:08.169216,14.36083430,.0065229,98.2162,46.6583,119.8035,313.8255,0,U,28051,999,15670,.32965E-4,.58E-6,0
DMSP 5D-3 F16 (USA 172),2003-048A,2026-01-02T03:33:35.112384,14.14432995,.0006301,99.0032,24.7645,254.9318,189.0776,0,U,28054,999,14601,.16178E-3,.264E-5,0
